ville,population,departement
Marchamp,1356,72
Vaucelles,18594,10
Sainte-Ode,48094,28
Charmoy-sur-Aine,285037,74
Sarnac,4681,10
Marchamp,6021,43
Nordheim,1194397,50
Roquefort,107159,53
Illiers,10822,40
Montplaisir,210,13
Sainte-Ode-sur-Aine,2206,11
Estrées,89520,18
Illiers,5151,19
Chantoiseau,1588689,85
Solignac,9779,90
Illiers,417539,47
Vaucelles,24507,48
Larchamp-sur-Aine,254825,90
Neuvic,6303,38
Fontenay,471031,34
Fontenay,11352,21
Solignac,1158,83
Belleville,11565,83
Ferrieres,6561,93
Belleville-sur-Aine,33423,48
Grandval,21782,28
Neuvic,334414,70
Neuvic,1657459,90
Larchamp,11584,77
Sarnac,14996,76
Bellerive,183316,61
Pontoise-les-Bains-sur-Aine,73929,92
Pontoise-les-Bains,9151,95
Belleville,9723,89
Estrées,926,81
Bellerive,1456,64
Combray,43862,54
Estrées,1374,48
Illiers-sur-Aine,23556,50
Fontenay,150666,75
Montplaisir,115827,64
Solignac,965100,35
Estrées,1078842,3
Combray,312,60
Belleville,19906,50
Pontoise-les-Bains-sur-Aine,1464,93
Roquefort,42019,88
Bourgville,8560,45
Illiers,10802,37
Aubrac,102521,22
Vaucelles,571344,40
Loudéac,439827,1
Fontenay-sur-Aine,996,87
Roquefort,13478,48
Grandval,1761040,94
Sarnac,583,42
Neuvic,242447,33
Loudéac,819,70
Clairmont,302,38
Ferrieres-sur-Aine,78922,12
Bellerive,2955,53
Aubrac,835250,79
Aubrac,42016,67
Montplaisir,14975,83
Illiers,775,26
Clairmont,744124,72
Verchamp-sur-Aine,34472,40
Nordheim,288,65
Grandval,1522594,83
Solignac,117459,91
Bellerive,196934,19
Pontoise-les-Bains,3102,41
Vaucelles,164608,57
Clairmont-sur-Aine,318914,65
Beaulieu,214,12
Roquefort,5067,31
Montplaisir,32648,5
Estrées,20450,88
Marchamp,3162,57
Montplaisir,33644,43
Valcourt-sur-Aine,60931,40
Valcourt,78571,81
Aubrac,80938,32
Estrées,751529,88
Montorge,1638,45
Vaucelles,489,11
Montorge,2538,36
Beaulieu-sur-Aine,2525,56
Vaucelles,1055,48
Neuvic,85292,35
Chantoiseau,1737,33
Loudéac,1461539,31
Illiers,76064,8
Combray,1838396,89
Neuvic-sur-Aine,622129,77
Vaucelles,287174,58
Bellerive,468,59
Larchamp,1978902,60
Grandval,412172,36
Roquefort,352546,94
Grandval,427677,34
Beaulieu-sur-Aine,1897,83
Charmoy,631,1
Combray,7730,13
Combray,16264,27
Ferrieres,28083,3
Belleville,307553,94
Loudéac,562,25
Fontenay-sur-Aine,70731,65
Valcourt,2482,25
Illiers,175709,85
Pontoise-les-Bains,238,33
Bourgville,14369,83
Solignac,18551,19
Illiers,93400,4
Belleville-sur-Aine,325,17
Neuvic,5478,76
Chantoiseau,467,88
Bellerive,67911,83
Sainte-Ode,10687,88
Loudéac,78481,15
Riverdale,1105,64
Ferrieres-sur-Aine,467262,3
Bellerive,986974,19
Fontenay,579,16
Riverdale,195421,85
Montorge,623718,7
Solignac,46449,22
Nordheim,50275,28
Chantoiseau-sur-Aine,291865,93
Ferrieres,1371,92
Vaucelles,1186,66
Grandval,3007,59
Chantoiseau,2462,14
Belleville,14930,91
Larchamp,21496,10
Solignac-sur-Aine,2764,2
Belleville,1722634,92
Sainte-Ode,351458,94
Loudéac,17443,32
Roquefort,981,42
Bourgville,719396,74
Sainte-Ode,379926,16
Estrées-sur-Aine,7912,6
Valcourt,251,68
Sarnac,55657,6
Beaulieu,65324,4
Grandval,353348,1
Marchamp,921,10
Solignac,235702,18
Nordheim-sur-Aine,5060,65
Sarnac,97034,14
Verchamp,21872,33
Neuvic,608,16
Loudéac,734370,26
Sainte-Ode,352,28
Belleville,7284,58
Chantoiseau-sur-Aine,13851,24
Grandval,126416,68
Clairmont,12352,18
Sarnac,1915,6
Loudéac,31028,87
Chantoiseau,1883521,59
Verchamp,1587,55
Loudéac-sur-Aine,12763,84
Bourgville,1508924,31
Combray,829033,17
Chantoiseau,684557,68
Nordheim,272,92
Valcourt,32110,37
Neuvic,425134,84
Neuvic-sur-Aine,2506,44
Grandval,2929,42
Aubrac,3878,90
Clairmont,27757,89
Montorge,3388,62
Riverdale,2079,71
Verchamp,1186517,63
Roquefort-sur-Aine,2331,87
Belleville,821858,88
Combray,170281,63
Sainte-Ode,2491,27
Neuvic,289,60
Neuvic,259973,65
Valcourt,3926,13
Vaucelles-sur-Aine,533,61
Solignac,13811,53
Roquefort,254,40
Marchamp,629033,23
Aubrac,433,48
Larchamp,23447,5
Riverdale,1736,3
Beaulieu-sur-Aine,3045,42
Montplaisir,664908,43
Estrées,704480,88
Pontoise-les-Bains,1057,14
Larchamp,327811,72
Montplaisir,245,3
Clairmont,516756,11
Neuvic-sur-Aine,209534,33
Nordheim,9071,42
Chantoiseau,554071,35
Fontenay,1282,2
Estrées,1253690,95
Beaulieu,18223,39
Riverdale,1961947,52
Sarnac-sur-Aine,1113846,93
Marchamp,945269,28
Valcourt,1752,94
Roquefort,981385,29
Vaucelles,22099,65
Verchamp,142544,6
Nordheim,485,11
Fontenay-sur-Aine,187000,77
Sainte-Ode,1194,51
Bourgville,33036,30
Bourgville,612,48
Nordheim,1073205,24
Neuvic,7458,35
Estrées,10924,7
Larchamp-sur-Aine,749,70
Neuvic,18760,48
Bourgville,106240,80
Verchamp,321,49
Estrées,92034,72
Solignac,3196,74
Aubrac,253,89
Bourgville-sur-Aine,13053,34
Combray,6093,68
Pontoise-les-Bains,662,43
Beaulieu,1024856,13
Illiers,66041,52
Montorge,1962281,95
Nordheim,359,11
Charmoy-sur-Aine,12598,60
Neuvic,646734,1
Clairmont,2128,90
Illiers,741,81
Sainte-Ode,5634,24
Pontoise-les-Bains,911,69
Combray,43618,86
Verchamp-sur-Aine,526,30
Roquefort,246,10
Chantoiseau,12674,79
Larchamp,95122,45
Marchamp,1785943,84
Verchamp,3017,92
Grandval,262,82
